"","abandona","plan_internacional","minutos_dia","llamadas_dia","minutos_noche","llamadas_noche","minutos_internacionales","llamadas_internacionales","reclamos"
"61","No","no",192.1,97,166.6,54,11.4,4,1
"62","No","no",268.6,83,166.3,106,11.6,3,2
"63","No","no",193.7,91,138,92,14.6,3,2
"64","No","no",180.7,92,265.5,53,12.6,3,3
"65","No","no",131.2,98,159,106,8.2,6,2
"66","No","no",148.1,74,214.1,102,6.2,5,2
"67","No","yes",251.5,105,157.8,67,9.3,4,0
"68","No","yes",125.2,93,129.3,139,8.3,8,0
"69","No","no",211.6,70,153.5,60,7.8,1,1
"70","Yes","no",178.9,101,148.6,100,13.8,3,4
"71","No","no",241.8,93,295.3,104,11.8,7,3
"72","No","no",224.9,97,254.6,61,12.1,2,0
"73","No","no",248.6,83,172.5,109,8,4,3
"74","No","no",203.4,146,152.4,105,7.3,4,1
"75","No","no",235.8,109,188.2,99,12,3,0
"76","No","no",157.1,90,181.4,111,6.1,2,1
"77","Yes","no",300.3,109,270.1,73,11.7,4,0
"78","Yes","no",61.6,117,173,99,8.2,7,4
"79","No","no",214.1,72,177.5,113,8.2,3,2
"80","No","no",170.2,98,228.6,76,15,2,1
"81","No","no",201.1,99,224,119,13.2,2,1
"82","No","yes",215.4,104,278.5,109,12.6,5,3
"83","No","no",165.6,123,175.7,90,11,2,3
"84","No","no",249.5,101,222.7,68,9.8,4,1
"85","Yes","no",210.6,96,191.4,88,12.4,1,2
"86","No","no",179.3,104,323,78,8.6,7,0
"87","Yes","no",157.9,105,189.6,84,8,5,4
"88","No","no",214.3,118,182.4,98,12,2,1
"89","No","no",154.1,104,202.1,57,10.9,9,2
"90","Yes","no",237.9,125,208.9,68,13.9,4,1
"91","No","no",143.9,61,109.6,94,11.1,2,1
"92","Yes","no",203.4,100,196,119,8.9,4,0
"93","No","no",124.3,100,253.2,62,7.9,9,1
"94","No","no",252.9,93,263.9,105,9.5,7,3
"95","No","no",179.1,71,127.7,91,10.6,7,3
"96","No","no",278.4,106,163.2,137,9.8,5,1
"97","No","no",160.1,110,174.1,72,13,4,0
"98","No","no",198.2,87,190.9,113,8.7,3,4
"99","Yes","no",212.1,131,167.2,96,5.3,5,1
"100","Yes","no",251.8,72,275.2,109,9.8,7,2
"101","No","no",161.2,114,160.2,92,4.4,8,4
"102","No","no",178.3,137,129.1,102,14.6,5,0
"103","No","no",151.7,82,180,100,10.5,6,0
"104","No","no",135,99,245.3,102,12.5,9,1
"105","No","no",170.5,94,248.6,75,11.3,2,1
"106","No","no",238.1,65,190,115,11.8,4,4
"107","No","no",281.4,102,187.2,113,9,6,2
"108","No","no",117.9,131,217,86,9.8,3,1
"109","No","no",148.6,91,219.4,142,10.1,1,1
"110","No","no",229.8,90,241.4,108,9.6,7,3
"111","No","no",165,100,119.2,86,8.3,8,1
"112","No","no",185,117,222.8,91,12.6,2,2
"113","No","no",161,117,227.7,113,12.1,4,4
"114","No","no",126.7,108,247.8,114,13.3,7,1
"115","No","no",58.9,125,211.4,88,9.4,3,1
"116","Yes","yes",196.8,89,138.3,126,20,6,0
"117","No","no",162.6,83,57.5,122,14.2,3,1
"118","Yes","no",282.5,114,170,115,9.4,4,1
"119","No","no",113.7,117,177.6,118,10,3,2
"120","No","no",239.8,125,143.3,81,8.7,5,2
"121","No","no",210.2,92,200.1,116,13.1,7,1
"122","No","no",213.8,102,142.2,123,7.2,3,0
"123","No","no",190.7,103,220.8,103,9.8,4,3
"124","No","no",170.9,124,112.9,89,11.6,3,1
"125","No","no",154.2,119,227.4,117,9.2,5,2
"126","No","no",201.4,52,252.5,106,12,3,1
"127","Yes","no",70.7,108,154.8,82,9.1,3,4
"128","Yes","no",187.5,124,225.7,129,6.4,6,4
"129","No","no",91.7,90,175,86,9.2,4,2
"130","No","no",214.2,115,264.7,102,9.5,4,3
"131","No","no",145.5,92,146.9,123,10.9,2,3
"132","No","no",166.3,125,256.7,80,6.1,5,1
"133","No","no",231,115,261.4,120,9.5,3,1
"134","No","no",200.3,96,206.1,60,7.1,1,4
"135","No","no",197,109,206.4,80,9.1,10,1
"136","No","yes",129.9,112,247.2,130,11.2,3,3
"137","No","no",175.8,97,237.5,134,5.3,4,5
"138","No","no",203.1,106,195.6,129,12,3,3
"139","No","no",183.2,117,263.3,71,11.2,8,1
"140","No","no",205,101,158.6,59,10.2,5,2
"141","No","no",148.5,115,193.6,112,12.4,3,1
"142","No","no",200.3,68,253.8,116,10.5,4,0
"143","No","no",192.6,107,109.7,139,6.8,5,3
"144","No","no",246.5,47,200.5,96,11.7,4,1
"145","Yes","yes",167.1,86,249.4,132,14.1,7,2
"146","No","no",231.9,101,110.4,98,14.3,6,3
"147","No","no",146.7,91,203.4,110,13.7,3,1
"148","No","yes",271.5,87,121.1,105,11.7,4,1
"149","No","no",181.5,121,161.6,103,8.5,5,1
"150","No","no",257.7,97,286.9,86,11.1,4,2
"151","No","no",193.8,99,172.3,67,10.6,6,1
"152","No","no",102.8,119,299,105,10.1,7,1
"153","No","no",187.9,116,227.3,86,7.5,6,1
"154","No","no",226,112,140.5,142,6.9,11,1
"155","No","no",260.4,115,269.5,87,11.5,4,5
"156","No","no",178.7,116,265.9,101,9.8,4,0
"157","Yes","no",337.4,120,153.9,114,15.8,7,0
"158","No","no",157.6,129,259.2,112,13.7,2,0
"159","No","no",183.6,117,178.6,79,10.2,2,1
"160","No","no",142.1,124,164.8,114,9.6,4,1
"161","No","no",136.3,97,137.5,101,7.1,5,0
"162","No","no",217.1,110,253.5,103,12,6,0
"163","No","no",187.5,99,229.5,105,10.5,5,3
"164","No","no",98.9,103,236.6,82,12.2,1,1
"165","No","no",206.3,151,167.2,91,6.1,3,1
"166","No","no",243.1,92,228.7,104,12.1,2,2
"167","No","no",189.8,126,264.8,126,7.5,3,1
"168","No","no",202,102,261.3,90,10.9,3,1
"169","No","no",170.1,124,105.9,73,12.8,4,1
"170","No","no",230.9,87,154,53,6.3,2,0
"171","No","no",237.1,105,97.4,79,13.2,2,1
"172","No","no",182.1,91,164.7,86,10.6,5,2
"173","No","no",119.3,87,268.9,86,10.5,4,3
"174","No","no",116.8,87,182.4,150,14.1,2,1
"175","No","no",219.2,92,244.7,104,6.1,5,0
"176","No","no",252.6,104,170.9,106,11.1,7,2
"177","No","no",147.1,91,195.2,115,12.2,3,0
"178","No","no",202.1,103,195.2,113,11.5,3,2
"179","No","no",173.5,93,208,112,16.2,10,3
"180","No","no",232.1,122,201.2,112,0,0,3
"181","No","yes",197.1,125,282.2,103,9.5,5,4
"182","Yes","no",58.2,94,136.8,91,11.9,1,5
"183","No","no",115.6,111,169.9,103,9.9,12,2
"184","No","no",186.1,98,214,127,14.6,7,2
"185","No","yes",259.9,68,134.4,121,8.4,3,3
"186","No","no",214.3,145,241.2,92,10.8,13,1
"187","No","no",158.7,74,198.5,103,10.2,4,1
"188","No","no",271.6,71,77.3,121,10.9,3,2
"189","No","no",160.6,111,187.1,112,9,3,1
"190","No","no",232.4,109,231.2,107,9.1,3,1
"191","No","no",133.8,85,112.2,115,8.9,4,0
"192","No","no",176.9,109,238,69,9.5,2,1
"193","No","no",209.9,74,208.2,119,8.8,4,2
"194","No","no",137.5,118,150,131,13.4,2,0
"195","No","no",289.5,52,119.1,88,9.5,4,1
"196","No","no",198.1,86,180.5,92,6.8,6,1
"197","No","no",149.7,119,261.5,126,9.7,8,0
"198","Yes","no",326.5,67,181.7,102,10.7,6,2
"199","Yes","yes",292.9,101,255.3,127,13.8,7,4
"200","No","no",83,64,245.7,89,13,3,0
"201","No","no",145.7,146,249.9,96,13.1,5,3
"202","No","no",182.3,101,245,131,11.2,1,2
"203","No","no",218,86,240.5,110,6.4,8,3
"204","No","no",140.6,109,217,83,6.8,3,2
"205","No","no",152.7,105,198.1,93,9.4,4,1
"206","No","no",106.7,76,190.4,117,12.1,2,1
"207","No","no",243.8,98,179.8,84,13.7,8,2
"208","No","no",194.4,94,223.3,90,10.8,5,3
"209","No","no",213.9,95,260.1,124,12.2,5,3
"210","No","no",217.2,112,226.1,89,15.8,7,3
"211","No","no",241.1,72,188.2,109,11.6,10,1
"212","No","yes",203.5,100,194.3,94,11.9,11,0
"213","No","no",155.2,131,122.4,68,10.7,3,1
"214","No","no",167.6,139,246.9,121,12.2,6,1
"215","Yes","yes",226.7,98,73.2,93,17.6,4,2
"216","No","no",179.3,93,225.2,131,11.5,6,3
"217","No","no",151.4,89,172.5,120,10.9,3,0
"218","No","no",180,80,265.4,91,4.7,7,3
"219","Yes","no",250.2,121,151,114,13,2,1
"220","No","no",223,121,188.7,107,7.1,12,0
"221","No","no",183.6,116,212.2,99,12.2,6,3
"222","No","no",166,114,244.9,68,10.2,6,1
"223","No","no",136.1,112,220.2,104,4.4,2,1
"224","No","no",149.3,113,174.3,104,8.9,6,2
"225","No","no",65.4,97,236,113,13.8,1,2
"226","No","no",213.4,111,250.1,123,2.7,4,1
"227","No","no",206.9,85,221.5,136,7.7,2,3
"228","No","no",186.2,78,76.5,139,9.6,3,2
"229","No","no",280.2,136,136.9,102,13.3,3,4
"230","No","no",196.6,84,163.3,108,11.9,3,0
"231","Yes","yes",312,109,217.6,74,10.5,2,0
"232","No","yes",199,110,197.6,92,11,6,1
"233","No","no",203.1,96,180.9,122,13.5,2,3
"234","No","no",168.8,97,154.3,113,10.9,2,0
"235","No","yes",173.1,140,233.2,117,9,5,1
"236","Yes","no",134.4,106,193.6,125,10.2,2,5
"237","No","no",202.6,103,234.9,98,9,9,2
"238","No","no",74.5,117,192.2,101,9.8,7,3
"239","No","no",83.6,148,226.6,110,10.7,9,0
"240","No","no",192.2,86,139.8,87,9.4,6,1
"241","No","no",220.2,89,195.3,79,12.9,5,0
"242","Yes","yes",135.1,95,223.1,81,12.3,2,2
"243","No","no",253.4,77,275.8,103,8.4,2,1
"244","No","no",225,81,194.3,110,7.1,2,3
"245","Yes","no",198.5,99,354.9,75,9.4,3,0
"246","No","no",110.3,107,202.3,96,9.5,5,0
"247","No","no",60,102,261.8,106,11.1,3,0
"248","No","no",214.8,94,283.4,66,10.2,5,0
"249","No","no",181.8,85,245.9,97,9.2,2,4
"250","No","no",154,114,228.4,112,11.8,4,2
"251","Yes","no",157.4,99,279.2,79,13.9,11,4
"252","No","no",207.9,91,191.8,143,14.4,7,4
"253","No","no",207,90,172.4,108,9.1,8,3
"254","No","no",119,101,236.9,58,9.5,3,0
"255","No","yes",143.7,117,178.3,81,10.9,3,0
"256","No","no",165.9,126,173.1,86,14.1,8,4
"257","No","no",138.6,122,231.6,92,9.8,3,1
"258","No","no",84.7,118,193.4,95,14.5,8,1
"259","Yes","yes",62.6,111,221.7,80,10.4,2,1
"260","No","no",155.2,79,169.4,80,8.7,4,1
"261","No","no",164.9,110,231.2,55,6.7,9,1
"262","No","no",134.5,88,223.9,61,15.4,1,1
"263","No","no",143.3,103,185.2,96,11.5,3,1
"264","No","no",168.3,110,241,136,12.5,1,1
"265","No","no",262.4,55,146.5,85,8.3,6,2
"266","No","no",206.2,79,291.6,83,11.4,6,1
"267","No","no",225.8,94,232.4,100,8.4,9,4
"268","No","no",138.3,89,263.9,98,13.5,6,3
"269","No","no",94.4,104,147.4,89,4.5,4,0
"270","No","yes",160,123,184.8,99,9.9,3,2
"271","No","no",206.6,105,249.9,100,14.6,3,0
"272","No","no",134.7,121,200.9,104,7.7,3,1
"273","No","no",214.4,78,206.2,107,8,13,3
"274","No","no",192.8,104,203.2,101,13,3,3
"275","No","no",151.1,90,239.2,114,10,3,1
"276","No","no",221.4,103,122.5,100,9.8,5,3
"277","No","yes",218.9,88,203.3,99,11.1,4,0
"278","Yes","no",189.8,96,214.2,106,6.5,2,2
"279","No","no",192.7,85,254.2,59,10.9,6,2
"280","No","yes",204.4,135,222.7,114,10.5,6,3
"281","No","no",172.3,97,188.2,119,13,4,2
"282","No","no",198.4,93,193.3,71,10.4,6,2
"283","No","no",211.7,115,144.1,80,12.2,1,1
"284","No","no",221.6,74,240.3,105,9,2,1
"285","No","no",197.9,108,281.4,56,6.7,5,3
"286","No","no",147.5,90,252.1,102,15.6,3,2
"287","No","no",206.4,122,194.5,84,8.8,5,2
"288","No","no",205.9,88,289.9,84,14.5,4,2
"289","No","no",207.6,88,255.2,98,14.1,5,0
"290","Yes","no",303.9,95,312.1,89,5.3,3,1
"291","No","no",230.6,121,299.3,94,8,2,0
"292","No","no",99.5,110,125.1,124,9.7,3,0
"293","No","no",177.1,112,146.7,108,5.9,4,1
"294","Yes","no",172.7,93,216.1,86,10.3,5,5
"295","No","no",172.7,86,259.5,70,9.8,3,1
"296","No","no",204.2,115,216.8,109,9.5,5,1
"297","No","no",85.7,83,142.4,85,10.1,5,2
"298","No","no",157.6,117,240.4,99,11.9,1,0
"299","No","no",215.5,129,207.1,91,6.6,9,4
"300","No","no",181.5,98,287.7,114,6.6,5,1
"301","No","no",171.7,80,195.4,111,11.9,4,2
"302","Yes","no",266.6,106,207.2,119,5.9,2,1
"303","Yes","no",170.4,108,297,87,11.2,3,0
"304","No","no",158,106,241.1,89,9.1,4,1
"305","No","no",92,117,214.1,90,10.3,10,1
"306","No","no",234,109,173.1,70,9.1,5,2
"307","Yes","no",272.1,111,213.8,105,8.5,10,1
"308","Yes","no",296.4,99,133.9,107,11.4,3,4
"309","No","no",194.4,101,183.4,107,11.4,2,0
"310","No","no",227.2,128,183.5,74,8.9,4,3
"311","Yes","no",248.7,109,265.7,78,13.2,2,1
"312","No","no",236.3,102,183.5,82,9.7,6,1
"313","No","no",205.6,69,220.1,64,10.9,3,0
"314","No","no",94.1,136,205,77,9.8,4,0
"315","No","no",125.2,99,254.4,111,18.9,2,0
"316","No","no",60.4,158,123.9,46,12.4,3,1
"317","No","no",121,105,160.5,76,7.7,4,2
"318","No","no",117.8,66,147.6,76,7.6,3,3
"319","No","no",232.4,96,273,102,5,5,3
"320","Yes","yes",223.5,81,154.9,101,9.4,2,2
"321","No","no",176.3,79,287.4,78,6.2,3,0
"322","No","no",125.2,79,232.4,89,12.9,3,1
"323","No","no",138.7,107,234.9,74,10,3,0
"324","No","no",86.3,134,251.6,91,11.3,4,1
"325","No","no",207,91,245.1,112,13.4,5,3
"326","No","no",58.8,104,152.3,118,7.1,3,0
"327","No","no",68.7,95,197.4,42,11.4,4,1
"328","No","no",239.2,109,156.3,95,9.5,4,1
"329","No","no",198.3,130,188.4,96,12.5,3,0
"330","No","no",205.2,97,79.7,108,14.4,12,0
"331","No","no",192.1,98,130.2,94,7.9,2,3
"332","Yes","no",272.6,83,197.4,111,9.5,2,1
"333","Yes","no",128.3,121,138.4,152,12.2,5,7
"334","No","no",169.6,99,206.3,78,9.3,4,0
"335","No","no",201.3,95,233.2,101,7.5,4,1
"336","No","no",214.7,97,169.1,44,8.6,4,1
"337","No","no",169.2,70,170.2,104,10.6,2,0
"338","No","no",194.1,121,302.8,136,7,7,2
"339","No","no",233.8,104,212.7,104,7.6,3,2
"340","No","no",225.1,67,175.5,102,14.6,2,0
"341","Yes","no",213,63,262.6,126,9.1,1,1
"342","No","no",183.9,115,275,145,10.8,11,1
"343","No","no",221.8,105,227.7,62,14,7,0
"344","No","no",64.6,98,244.8,84,0,0,2
"345","No","no",154.6,92,165.9,99,13.3,3,1
"346","No","no",260.2,131,135,119,7.2,8,3
"347","No","no",161.6,117,261.3,101,12.2,5,1
"348","No","no",220.6,117,186.7,89,10.5,11,1
"349","No","no",155.9,122,127.6,105,13.1,5,3
"350","Yes","no",107,63,243.1,74,12.8,3,4
"351","No","no",182.5,104,229.9,100,11.3,8,4
"352","No","yes",220.1,78,237.3,85,10.1,4,4
"353","No","no",152.2,112,96.4,87,5.3,3,1
"354","No","no",181.5,95,204,82,14.7,9,2
"355","Yes","yes",236.2,77,194.1,97,13.2,2,2
"356","No","no",166.1,105,213.7,98,12.7,2,1
"357","No","yes",244.6,89,206,114,11.3,4,1
"358","No","no",134.2,85,122.4,96,8.5,2,2
"359","No","yes",149.7,122,114.3,90,9.2,4,1
"360","No","no",150.1,109,178.4,97,5.8,4,1
"361","Yes","yes",257.1,53,183,82,8.8,6,1
"362","No","no",124.4,83,253,99,11.3,6,0
"363","No","no",141.7,121,222.1,131,12,5,1
"364","No","no",230,87,309.6,136,11.3,3,2
"365","No","no",162.3,88,192.1,81,10.9,2,0
"366","Yes","no",350.8,75,253.9,100,10.1,9,1
"367","No","no",193.3,96,128.6,115,9.1,3,4
"368","No","no",78.2,127,255,100,18,3,1
"369","No","no",83.4,110,146.7,114,7.6,5,1
"370","No","no",195.6,99,164.9,76,16,2,0
"371","No","no",201.8,81,204.4,82,10.3,6,1
"372","No","no",197,110,225.3,91,10.6,6,2
"373","Yes","yes",218,57,269.2,95,12.4,1,0
"374","No","no",164.8,98,167.3,108,14.8,2,2
"375","No","no",179.2,77,276.9,58,9.2,6,2
"376","No","no",214,113,134.5,82,10.6,5,0
"377","No","no",170.5,87,187.9,111,11.2,7,2
"378","No","no",205.7,123,226.1,106,6.7,18,1
"379","Yes","yes",165.5,84,198.9,89,11.5,2,1
"380","No","no",221,100,233.1,96,6.8,4,2
"381","No","no",242.1,118,218.6,50,14.7,2,3
"382","No","no",151.6,107,240,112,14.7,4,1
"383","No","yes",176.2,87,249.5,92,5.7,4,0
"384","No","yes",196,82,225.6,120,3.7,5,1
"385","No","no",159.5,125,187.9,82,7.2,4,2
"386","No","no",230.2,113,204.7,111,10.7,7,4
"387","No","no",146.7,64,321.3,98,8.9,1,3
"388","No","no",210.5,102,127.8,53,8.5,5,1
"389","No","no",102,95,148.2,105,10.7,3,1
"390","No","no",126,99,285.1,100,10.2,6,3
"391","No","no",168.4,125,214.7,102,11.1,2,1
"392","No","no",105.6,129,213.1,77,8.7,3,0
"393","No","no",206.5,92,232.8,115,12.4,5,5
"394","No","no",217.1,76,185.7,91,9.4,3,2
"395","Yes","no",229.6,78,166.2,91,10.8,2,0
"396","No","no",278.3,89,107.6,42,9.7,5,0
"397","No","no",138.6,102,204.1,137,7.8,4,0
"398","Yes","no",234.4,103,234.2,121,2,2,1
"399","No","no",181.5,129,186.5,118,8.5,4,1
"400","Yes","no",167.3,91,191.7,118,10.6,5,1
"401","No","no",121,105,226.7,110,12,1,1
"402","No","no",221.1,124,240.1,112,10.6,3,0
"403","No","no",145.8,108,165.1,96,9.9,2,1
"404","No","no",222.8,122,160.6,112,11.2,6,1
"405","No","no",183.4,80,201.4,100,7.5,3,4
"406","No","yes",264.3,91,198.6,73,9.3,5,0
"407","No","no",146,78,247.4,108,6.8,7,0
"408","Yes","no",157.1,134,197.2,59,8.5,5,4
"409","No","yes",127.3,108,135,88,10.3,3,1
"410","No","no",187.9,110,167,108,4.8,4,2
"411","No","no",178.8,90,203,99,8.4,5,2
"412","No","no",97.2,80,189,92,10.4,6,2
"413","No","no",259.8,85,168.8,72,5.4,1,0
"414","No","no",256.5,112,188.3,122,7,5,3
"415","No","no",169.5,77,219.4,92,10,3,0
"416","Yes","no",239.7,47,238.4,88,8.7,3,2
"417","Yes","yes",171.5,99,212.4,102,5,2,1
"418","No","no",239.9,84,209.5,93,9.8,2,0
"419","No","no",142.3,73,239.3,81,16,6,1
"420","No","no",184.1,98,212.5,106,7.5,6,2
"421","No","no",206.9,126,171.8,124,9.3,11,2
"422","No","no",259.9,114,77.2,112,15.3,1,1
"423","No","no",203.8,122,197.3,83,12.5,3,0
"424","No","no",248.8,124,263.6,102,10.3,2,3
"425","No","no",221.6,110,200,108,11.3,3,1
"426","No","yes",192.9,131,205.2,130,10.9,4,1
"427","No","no",122.4,129,180.2,97,12.5,7,1
"428","No","no",104.9,65,217.4,128,9.6,9,1
"429","No","no",173.2,91,209.3,128,11.2,5,3
"430","No","no",119.4,69,214.4,153,12.4,7,2
"431","Yes","no",250.3,100,195,104,13.3,2,2
"432","No","no",178.3,98,181,98,11.4,4,1
"433","No","no",243.4,77,259.2,94,12.8,2,1
"434","No","no",155,106,155.6,125,11.8,5,2
"435","No","no",288.7,101,203.2,49,8.6,3,0
"436","No","no",240.4,80,164.2,108,11.2,3,1
"437","No","no",190.3,123,214.6,134,8,3,1
"438","Yes","no",278,76,219.5,126,8.3,4,0
"439","No","no",155,93,189.4,123,13.5,3,1
"440","No","no",153.5,99,198.5,86,6.3,2,2
"441","No","no",273.4,141,245.8,112,12.3,6,1
"442","No","no",155.3,93,145.7,67,12.4,4,0
"443","No","no",133.1,114,131.6,103,6.8,3,1
"444","No","no",246.8,129,154.5,109,12.6,5,1
"445","No","yes",165.4,107,349.2,110,9.6,7,2
"446","No","no",59.5,103,208.3,86,11.1,6,0
"447","No","no",138.3,116,179.1,110,9.6,4,3
"448","No","no",286.7,100,192.9,122,6.9,5,2
"449","No","no",117.3,114,107.9,82,12.2,3,1
"450","No","no",264.3,79,173.4,92,6.3,3,4
"451","No","no",127.9,107,202.2,76,12.5,5,0
"452","No","no",225.5,107,245.7,81,9.8,2,0
"453","No","no",149,115,260,94,8.3,3,0
"454","No","no",198.9,77,190.7,76,14.3,9,1
"455","Yes","no",256.4,125,222.7,101,11.1,1,1
"456","Yes","no",264.8,124,160.5,115,14.8,2,1
"457","No","no",98.2,88,223.6,69,9.3,2,2
"458","No","no",159.8,99,115.7,70,9.7,7,2
"459","No","no",190.6,86,180.3,80,6,3,3
"460","No","no",184,120,153.7,86,11,3,0
"461","No","no",261.8,128,136.6,91,9.6,5,1
"462","No","no",147.9,109,299.7,90,9.6,9,3
"463","No","no",106.4,109,208.4,111,10.1,5,1
"464","No","no",133.7,75,280.5,89,5.9,2,0
"465","No","no",193.5,85,272.4,111,8.5,5,0
"466","Yes","yes",178.2,113,182.1,111,13.6,3,3
"467","Yes","no",226.2,103,258.8,102,10.5,5,3
"468","No","no",170.4,103,258.3,100,11.6,4,1
"469","No","no",70.9,163,244.9,105,11.1,5,3
"470","No","no",194.4,63,160.2,115,17.2,9,2
"471","No","no",240.3,146,240.7,106,10.6,2,1
"472","No","no",75,116,176,83,9.5,6,3
"473","No","no",69.1,117,181.7,53,6.3,3,1
"474","Yes","no",96.6,59,163.3,117,6.2,4,4
"475","No","no",214.6,101,162.8,132,14.8,12,0
"476","No","no",148.5,111,289.2,83,9.9,6,3
"477","No","no",258.1,106,225.1,110,11.7,5,1
"478","No","no",149.7,112,220.3,115,7.6,2,3
"479","No","no",149.8,134,294.7,124,8.1,2,1
"480","No","no",190.4,102,271.5,92,11.2,4,2
"481","No","no",181.4,108,112.3,94,11.6,6,1
"482","No","no",151.1,123,255.4,93,5.3,3,1
"483","No","no",155.7,116,257.4,97,8.1,4,0
"484","No","no",149.9,95,212.7,92,13.3,13,2
"485","No","no",222.3,132,223.5,75,11,2,3
"486","No","no",149.4,111,132.7,87,6.7,2,0
"487","No","yes",233.8,103,146.9,106,12.8,3,0
"488","No","no",204.2,100,244.3,105,10.5,2,0
"489","No","no",242.9,126,228.4,126,0,0,1
"490","No","no",150.4,119,186.3,76,12.3,4,1
"491","No","no",208.9,119,280.2,120,12.8,7,0
"492","Yes","yes",191.9,91,203.7,101,14.3,6,1
"493","Yes","yes",130.7,113,244.2,98,9.4,2,2
"494","No","no",119.6,104,263.4,175,5.9,2,2
"495","No","no",273.6,93,250.6,120,8.2,4,1
"496","No","yes",156.1,114,179.6,115,11.1,9,2
"497","No","no",178.7,134,126.8,82,8,4,2
"498","No","no",177.5,93,180.5,118,11.9,3,2
"499","Yes","yes",211.3,61,175.9,63,9.7,4,4
"500","No","no",175.2,91,75.8,95,7.5,2,1
"501","No","no",114.3,102,240.4,111,12.6,7,3
"502","No","no",251.4,104,251.9,121,7.5,5,1
"503","Yes","yes",216.9,61,221.7,110,17.5,5,1
"504","No","yes",217.2,138,280.7,76,9.3,3,0
"505","No","no",206.3,97,263.6,82,12.4,12,0
"506","No","no",159.3,66,261.9,76,11.1,5,1
"507","No","no",143.1,88,227.8,120,11.4,5,2
"508","Yes","no",154,122,288,117,5.6,2,3
"509","No","no",186.6,69,234.9,138,11.6,5,1
"510","Yes","no",170.8,114,169.7,98,9.6,5,5
"511","No","no",124,102,205.1,129,12.3,3,1
"512","No","no",198.3,94,146.2,87,14.8,8,3
"513","No","no",172.8,101,240.8,90,9.1,8,2
"514","No","no",217.4,74,227.2,104,6.6,3,0
"515","Yes","yes",265.9,113,108.1,82,14,12,0
"516","No","no",93.6,137,144.9,84,17.5,5,1
"517","No","no",98.2,100,182.5,120,7.6,1,2
